,interval_start_utc,interval_end_utc,sced_timestamp_utc,qse,dme,resource_name,resource_type,telemetered_resource_status,output_schedule,hsl,hasl,hdl,lsl,lasl,ldl,base_point,telemetered_net_output,as_responsibility_for_regup,as_responsibility_for_regdown,as_responsibility_for_rrs,as_responsibility_for_rrsffr,as_responsibility_for_nonspin,as_responsibility_for_ecrs,sced1_offer_curve,start_up_cold_offer,start_up_hot_offer,start_up_inter_offer,min_gen_cost,sced_tpo_offer_curve
0,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QSUE66,Y7VSOL,7RNCHSLR_UNIT1,PVGR,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [0.0, -3.01], [139.199996948242, -3.0], [139.199996948242, -3.0]]",,,,,"[[0.0, -3.01], [139.2, -3.0]]"
1,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QSUE66,Y7VSOL,7RNCHSLR_UNIT2,PVGR,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [0.0, -3.01], [95.1999969482422, -3.0], [95.1999969482422, -3.0]]",,,,,"[[0.0, -3.01], [95.2, -3.0]]"
2,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QSUE66,Y7VSOL,7RNCHSLR_UNIT3,PVGR,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [0.0, -3.01], [5.59999990463257, -3.0], [5.59999990463257, -3.0]]",,,,,"[[0.0, -3.01], [5.6, -3.0]]"
3,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QMP2M1,YDIST,ABINDUST_BESS1,PWRSTR,OUT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [0.0, 5000.0]]",,,,,[]
4,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QTEN26,YLIB1S,ADL_BESS1,PWRSTR,ON,0.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [0.0, 4999.0], [60.0, 5000.0], [60.0, 5000.0]]",,,,,"[[0.0, 4999.0], [60.0, 5000.0]]"
5,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QTEN26,YLIB1S,ADL_SOLAR1,PVGR,ON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [0.0, -30.0], [60.0, -29.99], [60.0, -29.99]]",,,,,"[[0.0, -30.0], [60.0, -29.99]]"
6,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QTYRE2,YWINMI,AE_BESS,PWRSTR,ONREG,3.7,9.9,1.09999990463257,1.09999990463257,0.0,0.0,0.0,1.09999990463257,1.09872,4.2,0.0,0.0,0.0,0.0,4.6,"[[0.0, -250.0], [0.0, -12.88], [5.69999980926514, -12.87], [5.80000019073486, 4999.99], [9.89999961853027, 5000.0], [9.89999961853027, 5000.0]]",,,,,"[[0.0, -12.88], [5.7, -12.87], [5.8, 4999.99], [9.9, 5000.0]]"
7,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QGOLDN,YGOLDE,AEEC_ANTLP_1,DSL,EMRSWGR,0.0,54.0,54.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [30.0, -250.0], [30.0, 26.3], [33.0, 26.62], [36.0, 26.94], [39.0, 27.25], [42.0, 27.57], [45.0, 27.89], [48.0, 28.21], [51.0, 28.53], [54.0, 28.84], [55.0, 28.95], [55.0, 28.95]]",186.0,186.0,186.0,39.9,"[[30.0, 26.3], [33.0, 26.62], [36.0, 26.94], [39.0, 27.25], [42.0, 27.57], [45.0, 27.89], [48.0, 28.21], [51.0, 28.53], [54.0, 28.84], [55.0, 28.95]]"
8,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QGOLDN,YGOLDE,AEEC_ANTLP_2,DSL,EMRSWGR,0.0,54.0,54.0,0.0,30.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [30.0, -250.0], [30.0, 26.3], [33.0, 26.62], [36.0, 26.94], [39.0, 27.25], [42.0, 27.57], [45.0, 27.89], [48.0, 28.21], [51.0, 28.53], [54.0, 28.84], [55.0, 28.95], [55.0, 28.95]]",124.0,124.0,124.0,39.9,"[[30.0, 26.3], [33.0, 26.62], [36.0, 26.94], [39.0, 27.25], [42.0, 27.57], [45.0, 27.89], [48.0, 28.21], [51.0, 28.53], [54.0, 28.84], [55.0, 28.95]]"
9,2025-06-11 02:00:00+00:00,2025-06-11 02:15:00+00:00,2025-06-11 02:00:12+00:00,QGOLDN,YGOLDE,AEEC_ANTLP_3,DSL,ON,54.1,54.0,54.0,54.0,30.0,30.0,30.0,54.0,54.058,0.0,0.0,0.0,0.0,0.0,0.0,"[[0.0, -250.0], [30.0, -250.0], [30.0, 26.3], [33.0, 26.62], [36.0, 26.94], [39.0, 27.25], [42.0, 27.57], [45.0, 27.89], [48.0, 28.21], [51.0, 28.53], [54.0, 28.84], [55.0, 28.95], [55.0, 28.95]]",62.0,62.0,62.0,39.9,"[[30.0, 26.3], [33.0, 26.62], [36.0, 26.94], [39.0, 27.25], [42.0, 27.57], [45.0, 27.89], [48.0, 28.21], [51.0, 28.53], [54.0, 28.84], [55.0, 28.95]]"
